name	x	y	z	material
Fp1	-0.030902595782959074	0.1145851808674079	0.027866574329093563	Ag/AgCl electrodes
MasL	n/a	n/a	n/a	Ag/AgCl electrodes
AF3	-0.03518601491807185	0.10912956744877292	0.056439214711789275	Ag/AgCl electrodes
AF4	0.034229850722724775	0.10981126989940736	0.057116674323529265	Ag/AgCl electrodes
MasR	n/a	n/a	n/a	Ag/AgCl electrodes
F7	-0.07187663250970616	0.07310353217275958	0.02579045587891774	Ag/AgCl electrodes
F5	-0.06605409092054944	0.08023978357581142	0.0537710792746328	Ag/AgCl electrodes
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	Ag/AgCl electrodes
F1	-0.029043954610346055	0.09144847919912263	0.09661865029442487	Ag/AgCl electrodes
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	Ag/AgCl electrodes
F2	0.027967905749604307	0.09186996396743785	0.09577991837531719	Ag/AgCl electrodes
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	Ag/AgCl electrodes
F6	0.0663313342381619	0.0815289626974268	0.053116279380060916	Ag/AgCl electrodes
F8	0.07143526180097565	0.07450512184827826	0.025101027393181548	Ag/AgCl electrodes
FT7	-0.082489318340554	0.04484874350085445	0.027680584654195248	Ag/AgCl electrodes
FC5	-0.07890598380592659	0.051367389393278916	0.06296234793922344	Ag/AgCl electrodes
FC3	-0.06185234453174111	0.057133289447271314	0.09376582882952603	Ag/AgCl electrodes
FC1	-0.03571586782937188	0.06171406221864098	0.11798301537735789	Ag/AgCl electrodes
FCz	-0.0012714337533993952	0.06345979225353343	0.12657198384237547	Ag/AgCl electrodes
FC2	0.03313097492028421	0.06182848393513826	0.11678169813445863	Ag/AgCl electrodes
FC4	0.060625474352247244	0.05770741653090674	0.09379461804488445	Ag/AgCl electrodes
FC6	0.07784661183611408	0.05209880614588322	0.062867106289257	Ag/AgCl electrodes
FT8	0.08010431965005083	0.045553577040141964	0.027412390613802098	Ag/AgCl electrodes
T7	-0.08598208540859081	0.014871643830998479	0.03117337373904913	Ag/AgCl electrodes
C5	-0.08208530618179086	0.019293632972432445	0.0694896677281912	Ag/AgCl electrodes
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	Ag/AgCl electrodes
C1	-0.037937831285299435	0.026337454328592032	0.12977060888830635	Ag/AgCl electrodes
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	Ag/AgCl electrodes
C2	0.035892709469692044	0.026358135962367156	0.12841234097161527	Ag/AgCl electrodes
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	Ag/AgCl electrodes
C6	0.08165316193008805	0.01969565410623155	0.06948180710557077	Ag/AgCl electrodes
T8	0.08326136240706139	0.015258183861365685	0.030972968524064372	Ag/AgCl electrodes
TP7	-0.08675728536194152	-0.014950971454822267	0.03515865615910235	Ag/AgCl electrodes
CP5	-0.0815135185591705	-0.013345688457798027	0.07313262712367748	Ag/AgCl electrodes
CP3	-0.06547224097149225	-0.011896599111525148	0.10777792004227077	Ag/AgCl electrodes
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	Ag/AgCl electrodes
CPz	-0.0015249123600369623	-0.010518376261361682	0.1415491439763013	Ag/AgCl electrodes
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	Ag/AgCl electrodes
CP4	0.0646962476012671	-0.011991179362648905	0.10771287092399104	Ag/AgCl electrodes
CP6	0.08140110027360135	-0.01346204793715924	0.07336367003861735	Ag/AgCl electrodes
TP8	0.08362231532894225	-0.01508567532515739	0.03505769683479039	Ag/AgCl electrodes
P9	-0.07504186115216518	-0.044614328642365725	0.002842148832066481	Ag/AgCl electrodes
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	Ag/AgCl electrodes
P5	-0.06929984778304407	-0.043226969304827736	0.07225380245654861	Ag/AgCl electrodes
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	Ag/AgCl electrodes
P1	-0.030653624162682504	-0.04492738508964679	0.11947204537971742	Ag/AgCl electrodes
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	Ag/AgCl electrodes
P2	0.029886386222411618	-0.04503254404940618	0.12074781507025559	Ag/AgCl electrodes
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	Ag/AgCl electrodes
P6	0.06586061191164945	-0.0433385196931155	0.07194130862688547	Ag/AgCl electrodes
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	Ag/AgCl electrodes
P10	0.07185894733971461	-0.045773124106266744	0.002655786411093812	Ag/AgCl electrodes
PO7	-0.056948628595126505	-0.06592324268349231	0.04790743802199564	Ag/AgCl electrodes
PO3	-0.038624608976388995	-0.06736158053162712	0.08241555265208678	Ag/AgCl electrodes
POz	-0.0018998318804281135	-0.06805409903094144	0.0959099993612478	Ag/AgCl electrodes
PO4	0.03466778587174901	-0.06766213823777688	0.08164652939132971	Ag/AgCl electrodes
PO8	0.05355731544232249	-0.0664169403782647	0.04785097585047131	Ag/AgCl electrodes
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	Ag/AgCl electrodes
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	Ag/AgCl electrodes
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	Ag/AgCl electrodes
